model,target_type,lead_bucket,n,med_abs_err_h,bias_h,mape,p90_abs_err_h,interval_coverage
naive+route,chokepoint,all,35119,3.905,-0.545,0.53,49.343,
naive+route,chokepoint,0-6h,12670,0.488,0.196,0.204,4.515,
naive+route,chokepoint,6-12h,6699,1.557,-0.292,0.176,8.229,
naive+route,chokepoint,12-24h,4339,10.26,-8.051,0.602,19.237,
naive+route,chokepoint,24-48h,5539,28.552,-27.934,0.831,41.404,
naive+route,chokepoint,48h+,5872,51.591,-51.452,0.894,64.532,
naive+route,port,all,135608,12.489,-9.637,0.735,50.646,
naive+route,port,0-6h,34577,1.415,0.976,0.582,8.636,
naive+route,port,6-12h,16775,3.624,-0.443,0.41,10.075,
naive+route,port,12-24h,22795,10.368,-9.151,0.594,19.175,
naive+route,port,24-48h,33556,26.747,-26.394,0.783,39.856,
naive+route,port,48h+,27905,49.71,-49.593,0.855,63.647,
naive+route,all,0-6h,47247,1.16,0.707,0.465,7.614,
naive+route,all,6-12h,23474,2.844,-0.379,0.316,9.607,
naive+route,all,12-24h,27134,10.351,-9.04,0.595,19.184,
naive+route,all,24-48h,39095,27.011,-26.605,0.791,40.155,
naive+route,all,48h+,33777,50.065,-49.92,0.863,63.804,
naive+route,all,all,170727,10.735,-7.051,0.713,50.427,
