model,target_type,lead_bucket,n,med_abs_err_h,bias_h,mape,p90_abs_err_h,interval_coverage
naive,chokepoint,0-6h,10911,0.406,0.064,0.167,3.091,
naive,chokepoint,6-12h,5781,1.704,-0.845,0.197,8.49,
naive,chokepoint,12-24h,3769,11.283,-9.489,0.683,19.961,
naive,chokepoint,24-48h,4747,29.742,-29.462,0.878,42.274,
naive,chokepoint,48h+,5146,52.826,-52.753,0.92,65.738,
naive,port,0-6h,22259,0.792,-0.038,0.345,3.553,
naive,port,6-12h,10149,4.672,-4.105,0.52,9.31,
naive,port,12-24h,15656,12.777,-12.604,0.742,19.575,
naive,port,24-48h,23000,29.052,-28.992,0.865,41.478,
naive,port,48h+,19661,54.096,-54.052,0.924,65.962,
naive,all,0-6h,33170,0.649,0.02,0.285,3.444,
naive,all,6-12h,15930,3.617,-2.748,0.412,9.145,
naive,all,12-24h,19425,12.561,-12.253,0.737,19.619,
naive,all,24-48h,27747,29.159,-29.052,0.867,41.621,
naive,all,48h+,24807,53.852,-53.777,0.923,65.915,
naive,all,all,121079,12.721,-11.576,0.761,54.345,
