model,target_type,lead_bucket,n,med_abs_err_h,bias_h,mape,p90_abs_err_h,interval_coverage
physics_v1,chokepoint,0-6h,12685,0.503,0.206,0.211,4.598,0.779
physics_v1,chokepoint,6-12h,6810,1.575,-0.35,0.177,7.665,0.974
physics_v1,chokepoint,12-24h,4344,10.028,-8.492,0.6,19.269,0.983
physics_v1,chokepoint,24-48h,5429,28.566,-28.149,0.833,41.184,0.997
physics_v1,chokepoint,48h+,5602,51.642,-51.559,0.895,64.756,0.477
physics_v1,port,0-6h,29740,1.39,0.953,0.572,8.792,0.634
physics_v1,port,6-12h,15011,3.409,-0.234,0.382,9.865,0.934
physics_v1,port,12-24h,20816,9.863,-8.743,0.555,18.741,0.988
physics_v1,port,24-48h,30713,26.265,-26.084,0.766,39.681,0.997
physics_v1,port,48h+,24554,49.717,-49.657,0.852,63.615,0.487
physics_v1,all,0-6h,42425,1.122,0.666,0.447,7.73,0.677
physics_v1,all,6-12h,21821,2.668,-0.281,0.296,9.304,0.947
physics_v1,all,12-24h,25160,9.895,-8.715,0.562,18.829,0.987
physics_v1,all,24-48h,36142,26.661,-26.404,0.778,40.018,0.997
physics_v1,all,48h+,30156,50.071,-50.005,0.861,63.849,0.485
physics_v1,all,all,155704,10.48,-7.243,0.698,49.817,0.802
