locode,name,lat,lon
AEABU,Abu al Bukhoosh,25.4833,53.1333
AEAJP,Al Jeer Port,26.0333,56.05
AEAMF,Musaffah,24.3833,54.4833
AEAMU,Abu Musa,25.8667,55.0167
AEARP,Ahmed Bin Rashid Port,25.5333,55.55
AEAUH,Abu Dhabi,24.4667,54.3667
AEDAS,Das Island,24.3167,52.6
AEDBP,Dibba,25.6167,56.2667
AEDUJ,The Palm Jumeirah,40.4167,-75.5333
AEDXB,Dubai,25.25,55.2667
AEEND,Esnnad,24.3167,54.45
AEFJR,Al Fujayrah,25.1167,56.3333
AEFRP,Free Port,25.25,55.25
AEHSN,Hassyan,24.9,54.9
AEHTL,Hulaylah Terminal,25.9833,55.9333
AEHZP,Hamriya Free Zone Port,25.3,55.3167
AEJAZ,Al Jazeera Port,25.7167,55.8
AEJEA,Jebel Ali,25.0,55.05
AEJED,Jebel Dhanna,63.3167,12.5333
AEKHL,Mina Khalifa/Abu Dhabi,24.8333,54.6667
AEKLB,Kalba,25.0667,56.35
AEKLF,Khor al Fakkan,25.3333,56.35
AEMBS,Mubarras Island,24.5833,53.3167
AEMKH,Mina Khalid,25.35,55.3667
AEMRP,Mina Rashid Port,25.2667,55.2833
AEMSA,Mina Saqr,25.9667,56.0667
AEMUB,Mubarek Terminal,42.0833,19.0833
AEMZD,Mina Zayed/Abu Dhabi,24.5167,54.3667
AEPRA,Port Rashid,25.2667,55.2833
AEQIW,Umm al Quwain,25.5833,55.5833
AEQWE,Jebel Ali Free Zone,25.0,55.05
AERFA,Mirfa,25.4667,53.4833
AERKP,Rak Khor Port,25.8167,55.95
AERKT,Ras al Khaimah,25.7833,55.95
AERMC,Rak Maritime City,25.95,56.05
AERUW,Ar Ruways,24.1167,52.7333
AERWP,Ruwais Port,24.1,52.7167
AESHJ,Sharjah,25.35,55.3833
AESID,Sadiyat Island,24.5333,54.4
AEULR,Umm Al Nar,24.4333,54.5
AEYAS,Yas Island,24.3167,52.6
AEZUR,Zirku Island,24.8833,53.0667
AFDHD,Dehdadi,36.65,66.9833
AFQLT,Qalat,32.1,66.8833
AFRKH,Torkham,34.8833,71.9167
AGBBQ,Barbuda,42.0833,19.0833
AGFAM,Falmouth,17.0167,-61.7833
AGPHM,Parham,17.0833,-61.75
AGSJO,Saint John's,17.1167,-61.85
AIFOR,The Forest,43.1,-82.0
AIMBB,Meads Bay Beach,18.1667,-63.1333
AIRBY,Road Bay,18.2,-63.0833
AISOM,Sombrero,18.6,-63.4667
ALBUT,Butrint,39.75,20.0167
ALDRZ,Durres,59.4833,10.3667
ALHMR,Himare,40.1333,19.7167
ALROM,Romano Port,41.3667,19.4167
ALSAR,Sarande,39.8833,20.0
ALSHG,Shengjin,41.8,19.5667
ALVOA,Vlore,40.4667,19.4833
AOBAB,Baba,-14.8333,12.2333
AOBDD,Barra do Dande,-11.0833,-43.1333
AOBDT,Baia dos Tigres,-16.6,11.7333
AOCPO,Capulo,-7.9833,13.1667
AOCUI,Cuio,-12.9833,12.9833
AODAL,Dalia,-7.6833,11.7833
AOETN,Essungo Terminal,-6.3333,12.1667
AOFBY,Farta Bay,-12.6167,13.2
AOFLT,Futila Terminal,-5.45,12.1833
AOGIM,Gimboa,-7.5333,12.1667
AOGIR,Girassol Terminal,-7.6333,11.6833
AOGPO,Greater Plutonio,-7.8333,12.1167
AOLBT,Lombo Terminal,-6.9833,12.35
AOLOB,Lobito,-10.0833,-78.1833
AONQI,Noqui,-5.85,13.4333
AONTO,N'Zeto,-7.2333,12.8667
AOPAT,Palanca Terminal,61.2167,17.15
AOPBN,Porto Amboim,41.15,-8.6167
AOPLE,Tombua,-15.8167,11.85
AOPSA,Porto Saco (Portosalazar),-15.1333,12.1333
AORSN,River Sao Nicolau,-14.25,12.3333
AOSTL,Sazaire Terminal,-6.0833,12.3833
AQABA,Aboa,-73.05,-13.4167
AQAPT,Arturo Prat,-62.5,-59.6833
AQARC,Arctowski,-62.15,-58.4667
AQART,Artigas,-62.1833,-58.9
AQBHN,Bellingshausen,-62.1833,-58.95
AQCAS,Casey Station,-66.2833,110.5167
AQCFZ,Comandante Ferraz,-62.0833,-58.3833
AQDAV,Davis Station,-68.5667,77.9667
AQDDU,Dumont d'Urville Station,-66.65,140.0
AQESC,Escudero,-62.2,-58.95
AQESP,Esperanza,-63.3833,-56.9833
AQGWL,Great Wall,-62.2167,-58.9667
AQHLY,Halley,-75.5667,-26.5333
AQJBS,Jang Bogo Station,-74.6,164.2
AQJCP,Juan Carlos Primero,-62.65,-60.3833
AQJUB,Jubany,-62.2333,-58.65
AQKHN,Kohnen,-75.0,0.0667
AQKSG,King Sejong,-62.2167,-58.7833
AQLAW,Law Base,-69.3833,76.3833
AQMAW,Mawson Station,-67.6,62.8667
AQMCM,McMurdo,-77.8333,166.6667
AQMIR,Mirny,-66.55,93.0
AQMRB,Marambio,-64.2333,-56.65
AQMZU,Mario Zucchelli,-74.6833,164.1167
AQOHG,General Bernardo O'higgins,-63.3167,-57.9
AQORC,Orcadas,-60.7333,-44.7333
AQPFS,Port Foster,-63.0,-60.5667
AQPLM,Palmer,-64.7667,-64.05
AQPRO,Progress,-69.4,76.3833
AQROT,Rothera,-67.5667,-68.1167
AQSGN,Signy,-60.7167,-45.6
AQSMT,San Martin,-68.1167,-67.1
AQSYW,Syowa,-69.0,39.5833
AQVKY,Vernadsky,-65.2333,-64.25
AQWSA,Wasa,-73.05,-13.4167
AQZGN,Zhongshan,-69.3667,76.3833
ARACF,Arrecifes,-34.0833,-60.1167
ARASO,Arroyo Seco,-33.1333,-60.4333
ARBHI,Bahia Blanca,-38.7167,-62.2833
ARBQS,Barranqueras,-11.0833,-43.1333
ARBUE,Buenos Aires,-34.5833,-58.6667
ARBUI,Ingeniero Buitrago,-33.35,-60.1333
ARBVC,Bella Vista,-28.5,-59.05
ARCBS,Chimbas,-31.4833,-68.5333
ARCDL,Candelaria,-27.45,-55.75
ARCHO,Chilecito,-29.1667,-67.5
ARCLC,Caleta Cordoba,-45.7333,-67.0667
ARCMP,Campana,-34.15,-58.95
ARCOL,Colon,-32.2167,-58.1333
ARCOU,Concepcion del Uruguay,-32.4833,-58.2333
ARCRD,Comodoro Rivadavia,-33.1833,-68.4667
ARCRY,Colonia Caroya,-32.2167,-58.1333
ARCSA,Cabo San Antonio,-36.0333,-56.5667
ARCUA,Cuatreros/Bahia Blanca,-38.7167,-62.2833
ARDGU,Del Guazu,-33.9,-58.8667
ARDME,Diamante,-32.0667,-60.65
ARDSU,Dock Sur,-34.65,-58.3333
ARFMA,Formosa,60.1667,5.4667
ARGEO,Agrelo,-33.1167,-68.8833
ARGHU,Gualeguaychu,-33.0167,-58.5167
ARIBY,Ibicuy,-33.7333,-59.1667
ARINW,Ingeniero White/Bahia Blanca,-38.7833,-62.2667
ARIQO,Coquimbito,-32.9667,-68.75
ARJLS,Jose Leon Suarez,60.1667,5.4667
ARLAV,Lavalle,-28.2,-65.1333
ARLCU,Lujan de Cuyo,-33.05,-68.8667
ARLPG,La Plata,-34.85,-57.8833
ARLPM,La Paz,-33.4667,-67.55
ARLPS,Las Palmas,-34.0167,-59.1167
ARLUJ,Lujan,-34.5667,-59.1
ARLZG,Luzuriaga,-32.95,-68.8167
ARMDQ,Mar del Plata,-38.05,-57.5333
ARNOS,Molinos,-25.4167,-66.3167
AROVI,Olavarria,-36.8833,-60.3333
AROYA,Goya,35.2333,136.85
AROYO,Tres Arroyos,-38.3833,-60.2833
ARPAL,Puerto Alumbrera,-32.65,-60.75
ARPBG,Puerto Belgrano/Bahia Blanca,-38.7167,-62.2833
ARPCO,Punta Colorada,-41.7,-65.0
ARPCY,Pilcomayo,49.05,4.0
ARPEL,Puerto Eldorado,-26.35,-54.6833
